checkpoint,self_bleu_mean,self_bleu_std,distinct_2_mean,distinct_2_std,surprisal_mean,surprisal_std,fairy_word_mean,fairy_word_std,fairy_classifier_mean,fairy_classifier_std
base,0.4971007483869585,0.0766727507910773,0.8713820999618032,0.06617878322261848,1.7434377988179526,0.20910978892778165,4.066666666666666,1.8607047649270485,0.6980908890565236,0.1582641193158496
16655,0.622632141412487,0.056531496594507305,0.875655718636583,0.05694655164464926,3.1426507870356244,0.2692758642808392,2.5,1.0567244989431572,0.8391915758450826,0.05491669704663201
33310,0.5725039154262752,0.06630223616573629,0.8730744487174912,0.0312549124490782,3.240878688389148,0.24668606325681888,2.6333333333333333,0.706320670013903,0.8053233385086059,0.07110200184851556
49965,0.5709469889453032,0.0907919892098695,0.8341207751829163,0.05917837133957527,3.285576540505804,0.2528652147068486,2.8,0.9797958971132712,0.8226341327031453,0.06699537636798829
66620,0.5268678998625341,0.06425626899411621,0.8348069627254129,0.08665103036862422,3.203182259113198,0.37196369763138076,2.8333333333333335,1.0979779394667069,0.8266719996929168,0.04703438539776109
83275,0.5704048229268575,0.06096325922018907,0.8292839520491673,0.07779616291451685,2.9638725123599614,0.37505753664084013,3.7666666666666666,1.1160446028522137,0.8487334549427032,0.05093118156369392
