checkpoint,self_bleu_mean,self_bleu_std,distinct_2_mean,distinct_2_std,surprisal_mean,surprisal_std,fairy_word_mean,fairy_word_std,fairy_classifier_mean,fairy_classifier_std
base,0.5047783826844031,0.07411501121222605,0.8603641825998457,0.08412652811490282,1.7798878852779985,0.20534466367375115,3.9,1.9209372712298545,0.6910128325223923,0.15656021743279774
16655,0.5200663338775349,0.06343523499727834,0.8933599836405187,0.052554041014144515,3.3380107772621677,0.19534446595335728,2.6666666666666665,0.9775252199076786,0.7745855331420899,0.08852945961009998
33310,0.6222605177806028,0.08166632709595445,0.8457314987954653,0.07978136117750688,3.252078646687064,0.2813111638103772,3.3,0.9363047936792093,0.8237734496593475,0.056679459091783284
49965,0.6160193270614659,0.05964273078242365,0.8486086588674323,0.04851399604266559,3.1428813260883506,0.2929939336148935,2.933333333333333,1.0306416555826872,0.8466024398803711,0.05066119407361761
66620,0.5845686350898667,0.04849249042536712,0.8617794698135857,0.08282573684262781,3.248245616011903,0.39147948622795237,2.6666666666666665,0.8299933065325821,0.814987063407898,0.07034450553314027
83275,0.5725164054769972,0.055642561129417026,0.8783598728960749,0.051325975737005924,3.1902000109354653,0.22658005148381816,3.066666666666667,1.1527744310527055,0.8481145679950715,0.05101934892911319
