checkpoint,self_bleu_mean,self_bleu_std,distinct_2_mean,distinct_2_std,surprisal_mean,surprisal_std,fairy_word_mean,fairy_word_std,fairy_classifier_mean,fairy_classifier_std
base,0.4871762459963278,0.05559604112460921,0.8441165316935323,0.08913553761613262,2.1516958038012186,0.22603447252715547,3.533333333333333,1.4772346537440226,0.5654207756121953,0.18265902344962523
16655,0.6469177299785448,0.06103886165955428,0.8183183214279864,0.05303637391583496,2.519049152192033,0.20509105526907032,2.8333333333333335,1.1855612829185826,0.8665366411209107,0.05068291787766494
33310,0.6615550683441358,0.06552134546158249,0.8332427528014762,0.07768885571346416,2.601721735795339,0.21190775453840144,3.566666666666667,1.54236470683457,0.8419425209363302,0.045399701176073864
49965,0.6389714800397459,0.048202503988456734,0.8221676646596616,0.07430149666455166,2.4543855508168537,0.18151215861695474,3.566666666666667,1.358512258154322,0.8547934154669444,0.05033393178619366
66620,0.6366477809147781,0.06687651123064732,0.7756871658797093,0.10367108700221647,2.420210237111675,0.27055451463429436,2.8,1.16619037896906,0.8712259511152903,0.05799037215288086
83275,0.649569521002801,0.045244743623469495,0.7769484039125663,0.09183566212305673,2.3717825066258253,0.21856662993859421,2.8666666666666667,1.2036980056845192,0.8558367093404134,0.05727542754124713
